site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
..\..\..\files\weather\hourly\Oristano.csv,1/26/2014 12:00:00 AM,13,6.4,0,0,84.2,46.8,-46.046654,-2.6181815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/27/2014 12:00:00 AM,13.7,4.3,0,4,90.1,67.5,-50.018463,-3.9718084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/28/2014 12:00:00 AM,12.8,8.4,7.6,14,90.4,67.1,-51.327557,-1.3090917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/29/2014 12:00:00 AM,10.9,6.8,3.7,11,82.7,63.3,-53.278778,-1.9512198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/30/2014 12:00:00 AM,12.1,6.2,12.8,21,96.3,76.9,-55.85505,-2.5762708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,1/31/2014 12:00:00 AM,11.5,8.3,7.6,20,91,83.8,-57.103485,-1.2484369,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/1/2014 12:00:00 AM,11.5,6.7,0,1,84.4,61.9,-59.26911,-2.1656256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/2/2014 12:00:00 AM,11.7,5.4,0,0,89.9,62.7,-62.189747,-2.920635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/3/2014 12:00:00 AM,9.4,5.2,10.7,18,93.4,79.4,-64.28975,-2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/4/2014 12:00:00 AM,11.2,6,6.9,13,94.1,68.3,-66.75129,-2.4615388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/5/2014 12:00:00 AM,11,5.2,5.8,10,91.9,76,-69.56509,-2.8137937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/6/2014 12:00:00 AM,11.6,6.7,10.9,12,94.8,73.6,-71.75386,-2.1887753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/7/2014 12:00:00 AM,13.9,6.8,0,3,86.4,63,-74.232735,-2.4788735,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/8/2014 12:00:00 AM,15.5,6.6,3,10,90.5,70.7,-76.9833,-2.750562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/9/2014 12:00:00 AM,13.8,8.8,5.5,10,94.1,73.7,-78.0393,-1.0559999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/10/2014 12:00:00 AM,12.9,8.8,10,8,93.8,57,-79.06369,-1.0243906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/11/2014 12:00:00 AM,14.1,9.3,19.8,22,94,86.1,-79.71265,-0.6489587,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,
..\..\..\files\weather\hourly\Oristano.csv,2/12/2014 12:00:00 AM,11.7,9.2,2,8,90.1,66.5,-80.38464,-0.6720001,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/13/2014 12:00:00 AM,12.2,7.8,0.8,6,83.8,68.8,-82.034645,-1.6499999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/14/2014 12:00:00 AM,14,8.1,0,9,93.7,77.7,-83.628716,-1.5940676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/15/2014 12:00:00 AM,15.2,9.3,0,14,95.2,64.5,-84.28719,-0.65847445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/16/2014 12:00:00 AM,18.3,10.7,0,14,92.2,65.2,-84.28719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/17/2014 12:00:00 AM,18.4,8.9,0,0,81.6,61.2,-85.32351,-1.0363164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/18/2014 12:00:00 AM,16.9,9.9,0,5,88.3,64,-85.4228,-0.09928632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/19/2014 12:00:00 AM,18.2,10.7,0,4,82.7,62.8,-85.4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
..\..\..\files\weather\hourly\Oristano.csv,2/20/2014 12:00:00 AM,14.6,11,2,18,95.6,82,-85.4228,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,
