site,Date,temp,prec,RH,lw
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 12:00:00 AM,3.946613,0,81.5896,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 1:00:00 AM,3.3895957,0,84.85591,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 2:00:00 AM,3.0394373,0,86.98382,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 3:00:00 AM,2.92,0,87.7232,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 4:00:00 AM,3.0394242,0,86.98389,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 5:00:00 AM,3.3895702,0,84.856064,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 6:00:00 AM,3.9465773,0,81.589806,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 7:00:00 AM,4.6724854,0,77.54178,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 8:00:00 AM,5.517825,0,73.10778,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 9:00:00 AM,6.4249873,0,68.66188,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 10:00:00 AM,7.3321505,0,64.515915,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 11:00:00 AM,8.177493,0,60.902977,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 12:00:00 PM,8.903405,0,57.980434,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 1:00:00 PM,9.460417,0,55.844128,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 2:00:00 PM,9.81057,0,54.546326,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 3:00:00 PM,9.93,0,54.111416,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 4:00:00 PM,9.81057,0,54.546326,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 5:00:00 PM,9.460417,0,55.844128,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 6:00:00 PM,8.903405,0,57.980434,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 7:00:00 PM,8.177493,0,60.902977,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 8:00:00 PM,7.3321505,0,64.515915,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 9:00:00 PM,6.4249873,0,68.66188,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 10:00:00 PM,5.517825,0,73.10778,0,
..\..\..\files\Weather\daily\Calosso.csv,1/1/2018 11:00:00 PM,4.6724854,0,77.54178,0,
..\..\..\files\Weather\daily\Calosso.csv,1/2/2018 12:00:00 AM,3.7638323,0,76.44175,0,
..\..\..\files\Weather\daily\Calosso.csv,1/2/2018 1:00:00 AM,2.9207573,0,81.13374,0,
..\..\..\files\Weather\daily\Calosso.csv,1/2/2018 2:00:00 AM,2.3907745,0,84.24741,0,
..\..\..\files\Weather\daily\Calosso.csv,1/2/2018 3:00:00 AM,2.21,0,85.33977,0,
..\..\..\files\Weather\daily\Calosso.csv,1/2/2018 4:00:00 AM,2.3907545,0,84.24753,0,
..\..\..\files\Weather\daily\Calosso.csv,1/2/2018 5:00:00 AM,2.920719,0,81.13397,0,
..\..\..\files\Weather\daily\Calosso.csv,1/2/2018 6:00:00 AM,3.763778,0,76.44204,0,
