site,year,month,day,T2M_MAX,T2M_MIN,PRECTOTCORR
Rome,2000,1,1,7.9,-1.65,0
Rome,2000,1,2,9.24,0.15,0
Rome,2000,1,3,10.66,-0.22,0.01
Rome,2000,1,4,9.58,1.51,0
Rome,2000,1,5,11.37,1.83,0
Rome,2000,1,6,12.42,3.14,0.01
Rome,2000,1,7,11.94,1.47,0.04
Rome,2000,1,8,10.99,5.27,0
Rome,2000,1,9,11.7,3.92,0.03
Rome,2000,1,10,12.87,4.23,0.07
Rome,2000,1,11,11.46,3.01,0.66
Rome,2000,1,12,10.73,4.5,0.86
Rome,2000,1,13,10.96,4.46,3.18
Rome,2000,1,14,11.48,6.28,1.64
Rome,2000,1,15,13.15,3.87,0.07
Rome,2000,1,16,12.11,4.04,0.61
Rome,2000,1,17,9.03,-1.53,0.52
Rome,2000,1,18,11.36,1.05,0
Rome,2000,1,19,10.75,0.34,0
Rome,2000,1,20,9.91,0.25,1.22
Rome,2000,1,21,9.46,4.39,8.22
Rome,2000,1,22,9.55,3.51,2.9
Rome,2000,1,23,8.18,-0.16,5.19
Rome,2000,1,24,8.98,-2.17,0.05
Rome,2000,1,25,6.33,-3.96,0.01
Rome,2000,1,26,7.08,-2.82,0
Rome,2000,1,27,7.61,-0.65,0
Rome,2000,1,28,9.23,1.55,1.69
Rome,2000,1,29,11.1,5.48,7.25
Rome,2000,1,30,14.41,6.54,0.01
Rome,2000,1,31,14.21,5.08,0.08
Rome,2000,2,1,14.23,7.12,0.02
Rome,2000,2,2,12.01,5.8,1.39
Rome,2000,2,3,14.69,5.08,2.72
Rome,2000,2,4,12.65,1.34,0.01
Rome,2000,2,5,12.68,0.89,0
Rome,2000,2,6,13.77,4.22,0
Rome,2000,2,7,12.19,2.86,0.01
Rome,2000,2,8,11.54,5.9,0.02
Rome,2000,2,9,13.94,6.62,2.64
Rome,2000,2,10,11.53,1.42,0.09
Rome,2000,2,11,12.6,0.47,0.02
Rome,2000,2,12,11.14,4.69,3
Rome,2000,2,13,13.44,1.31,0.58
Rome,2000,2,14,14.66,4.1,0
Rome,2000,2,15,12.42,4.3,0.03
Rome,2000,2,16,12.95,6.94,4.69
Rome,2000,2,17,9.36,0.73,5.4
Rome,2000,2,18,10.38,-1.06,0.1
Rome,2000,2,19,13.95,5.04,3.08
Rome,2000,2,20,13.72,2.55,1.46
Rome,2000,2,21,12.1,2.02,0.01
Rome,2000,2,22,9.88,0.64,0.01
Rome,2000,2,23,12.08,-0.8,0
Rome,2000,2,24,12.26,-1.07,0
Rome,2000,2,25,12.7,0.84,0
Rome,2000,2,26,14.51,7.76,0.01
Rome,2000,2,27,15.6,6.55,0.2
Rome,2000,2,28,15.53,5.96,0
Rome,2000,2,29,13.64,4.13,1.62
Rome,2000,3,1,12.19,4.9,2.92
Rome,2000,3,2,11.2,3.35,1.44
Rome,2000,3,3,14.41,2.61,0
Rome,2000,3,4,12.1,5.84,0
Rome,2000,3,5,15.55,2.2,0
Rome,2000,3,6,12.59,0.98,0
Rome,2000,3,7,13.08,2.85,0
Rome,2000,3,8,14.85,4.73,0
Rome,2000,3,9,15.14,4.29,0.03
Rome,2000,3,10,15.9,8.06,0.52
Rome,2000,3,11,13.98,7.98,0
Rome,2000,3,12,17.93,8.96,0
Rome,2000,3,13,16.96,7.44,0
Rome,2000,3,14,15.93,7.42,0.02
Rome,2000,3,15,15.73,8.83,0.52
Rome,2000,3,16,16.08,3.67,0.01
Rome,2000,3,17,15.37,4.44,0
Rome,2000,3,18,16.87,4.46,0.01
Rome,2000,3,19,14.19,2.49,6.9
Rome,2000,3,20,11.12,4.51,9.04
Rome,2000,3,21,14.94,1.72,0
Rome,2000,3,22,15.69,3.85,0
Rome,2000,3,23,15.69,5.23,0
Rome,2000,3,24,15.52,5.6,0.01
Rome,2000,3,25,13.5,7.98,6.2
Rome,2000,3,26,15.44,8.61,15.32
Rome,2000,3,27,12.4,7.47,3.66
Rome,2000,3,28,15.21,8.83,7.83
Rome,2000,3,29,14.32,6.65,5.99
Rome,2000,3,30,13.99,4.87,0.02
Rome,2000,3,31,17.08,3.55,0.04
Rome,2000,4,1,13.71,8.62,4.98
Rome,2000,4,2,16.62,5.39,0.03
Rome,2000,4,3,17.33,10.45,0.2
Rome,2000,4,4,16.83,8.66,5.16
Rome,2000,4,5,16.41,8.97,0.92
Rome,2000,4,6,15.97,7.44,2.42
Rome,2000,4,7,17.23,3.95,0.26
Rome,2000,4,8,16.81,3.2,0
Rome,2000,4,9,12.34,6.52,6.11
Rome,2000,4,10,13.15,8.39,30.08
Rome,2000,4,11,15.08,9.77,11.05
Rome,2000,4,12,16.72,9.1,0.28
Rome,2000,4,13,17.26,8.4,0.19
Rome,2000,4,14,20.2,9.9,0.11
Rome,2000,4,15,19.3,10.15,0.06
Rome,2000,4,16,19.32,9.7,0.1
Rome,2000,4,17,20.45,11.64,0.06
Rome,2000,4,18,17.18,10.69,1.99
Rome,2000,4,19,17.9,9.01,0.28
Rome,2000,4,20,23.57,9.26,0.03
Rome,2000,4,21,25.88,11.53,0
Rome,2000,4,22,24.26,12.73,0.02
Rome,2000,4,23,23.22,12.62,0.07
Rome,2000,4,24,15.08,8.94,1.76
Rome,2000,4,25,19.7,7.48,0.63
Rome,2000,4,26,22.16,9.76,0
Rome,2000,4,27,23.89,12.04,0
Rome,2000,4,28,22.2,13.4,0.13
Rome,2000,4,29,18.34,12.8,3.45
Rome,2000,4,30,23.16,11.29,0.05
Rome,2000,5,1,20.75,11.62,0.17
Rome,2000,5,2,21.16,12.77,2.42
Rome,2000,5,3,23.44,12.63,0.06
Rome,2000,5,4,22.66,12.67,0.11
Rome,2000,5,5,24.47,12.62,0
Rome,2000,5,6,23.53,12.78,0.57
Rome,2000,5,7,25.51,14.91,4.32
Rome,2000,5,8,24.98,14.36,0.92
Rome,2000,5,9,25.2,14.9,0.69
Rome,2000,5,10,26.98,16.75,0.1
Rome,2000,5,11,28.43,16.61,1.63
Rome,2000,5,12,25.39,16.48,0.02
Rome,2000,5,13,26.33,15.44,0.07
Rome,2000,5,14,25.14,16.82,0.08
Rome,2000,5,15,25.27,15.37,0.02
Rome,2000,5,16,26.32,13.89,0
Rome,2000,5,17,27.09,15.12,0
Rome,2000,5,18,24.66,14.87,0
Rome,2000,5,19,21.93,13.8,0
Rome,2000,5,20,21.51,12.76,0
Rome,2000,5,21,23.23,10.87,0
Rome,2000,5,22,23.31,15.1,0.25
Rome,2000,5,23,25.18,13.5,0.11
Rome,2000,5,24,25.33,14.98,0
Rome,2000,5,25,26.26,16.67,0
Rome,2000,5,26,26.29,16.05,0.51
Rome,2000,5,27,25.76,17.03,0.36
Rome,2000,5,28,24.15,16.46,0.53
Rome,2000,5,29,24.62,15.43,0.01
Rome,2000,5,30,26.44,15.12,0.02
Rome,2000,5,31,25.56,15.86,0
Rome,2000,6,1,28.69,14.85,0.01
Rome,2000,6,2,27.96,13.54,0
Rome,2000,6,3,29.08,17.15,0
Rome,2000,6,4,29.31,19.05,0.09
Rome,2000,6,5,28.3,17.86,0
Rome,2000,6,6,28.13,16.32,1.27
Rome,2000,6,7,24.67,17.38,3.81
Rome,2000,6,8,29.73,17.53,0.45
Rome,2000,6,9,31.13,17.9,5.64
Rome,2000,6,10,30.24,18.84,0.84
Rome,2000,6,11,26.37,18.36,3.44
Rome,2000,6,12,25.41,17.11,3.31
Rome,2000,6,13,26.97,16.38,0.05
Rome,2000,6,14,30.28,16.12,0.02
Rome,2000,6,15,28.53,17.3,2.72
Rome,2000,6,16,28.75,17.9,1.9
Rome,2000,6,17,30.37,15.46,0
Rome,2000,6,18,28.64,12.63,0
Rome,2000,6,19,28.89,14.23,0
Rome,2000,6,20,29.83,17.12,0
Rome,2000,6,21,30.56,17.79,0
Rome,2000,6,22,29.94,17.48,0
Rome,2000,6,23,29.83,18.1,0
Rome,2000,6,24,27.94,17.87,0
Rome,2000,6,25,25.89,18.07,0.09
Rome,2000,6,26,29.36,17.7,0.63
Rome,2000,6,27,30.01,16.02,0.01
Rome,2000,6,28,29,17.89,0
Rome,2000,6,29,28.91,18.38,1.66
Rome,2000,6,30,29.92,18.43,0.02
Rome,2000,7,1,29.83,18.07,0
Rome,2000,7,2,32.74,18.55,0.03
Rome,2000,7,3,34.37,20.01,0
Rome,2000,7,4,33.63,22.62,0
Rome,2000,7,5,31.7,20.14,0
Rome,2000,7,6,34.23,19.56,0.01
Rome,2000,7,7,35.12,22.65,0
Rome,2000,7,8,30.67,20.48,0
Rome,2000,7,9,29.76,18.33,0.02
Rome,2000,7,10,27.17,16.66,0.1
Rome,2000,7,11,25.3,16.34,14.73
Rome,2000,7,12,25.37,14.4,5.53
Rome,2000,7,13,26.3,11.86,0
Rome,2000,7,14,25.31,14.12,0.24
Rome,2000,7,15,26.73,16.98,1.59
Rome,2000,7,16,26.44,16.4,0.28
Rome,2000,7,17,26.77,14.47,0
Rome,2000,7,18,28.11,15.48,0
Rome,2000,7,19,30.86,16.08,0
Rome,2000,7,20,30.19,18.18,0.72
Rome,2000,7,21,29.87,15.83,11.23
Rome,2000,7,22,30.87,15.71,0.01
Rome,2000,7,23,30.11,17.8,0.07
Rome,2000,7,24,29.28,19.02,0.13
Rome,2000,7,25,29.4,19.8,0
Rome,2000,7,26,30.81,19.19,0.02
Rome,2000,7,27,33.71,19.77,0
Rome,2000,7,28,32.91,19.83,0.01
Rome,2000,7,29,32.16,19.58,0
Rome,2000,7,30,32.44,18.72,0
Rome,2000,7,31,32.66,17.61,0
Rome,2000,8,1,31.61,17.36,0
Rome,2000,8,2,32.89,20.07,0
Rome,2000,8,3,32.49,20.18,0
Rome,2000,8,4,33.48,21.19,0.05
Rome,2000,8,5,26.77,18,8.81
Rome,2000,8,6,26.41,17.19,0.03
Rome,2000,8,7,26.61,18.01,0.94
Rome,2000,8,8,31.8,16.8,0
Rome,2000,8,9,31.84,18.61,0
Rome,2000,8,10,33.26,18.74,0
Rome,2000,8,11,33.72,19.63,0
Rome,2000,8,12,33.49,20.15,0.9
Rome,2000,8,13,32.12,21.64,1.35
Rome,2000,8,14,32.19,22.07,1.31
Rome,2000,8,15,35.15,20.53,0
Rome,2000,8,16,35.63,20.12,0.02
Rome,2000,8,17,35.94,20.03,0
Rome,2000,8,18,35.73,22.9,0.18
Rome,2000,8,19,35.72,23.15,0
Rome,2000,8,20,35.67,22.33,0.02
Rome,2000,8,21,36.11,23.62,0
Rome,2000,8,22,35.55,23.3,0.02
Rome,2000,8,23,35.98,23.3,0
Rome,2000,8,24,36.74,23.96,0
Rome,2000,8,25,37.52,23.33,0.17
Rome,2000,8,26,35.11,22.14,0
Rome,2000,8,27,32.61,21.62,0.05
Rome,2000,8,28,31.87,21.01,0.02
Rome,2000,8,29,32.28,20.35,0
Rome,2000,8,30,31.19,18.9,0
Rome,2000,8,31,26.42,20.06,9.84
Rome,2000,9,1,29.5,19.63,0.11
Rome,2000,9,2,29.83,18.1,0
Rome,2000,9,3,27.62,17.59,0.06
Rome,2000,9,4,25.1,17.45,2.56
Rome,2000,9,5,26.04,14.07,1.42
Rome,2000,9,6,26.45,12.57,0
Rome,2000,9,7,22.81,16.36,13.01
Rome,2000,9,8,25.18,15.3,1.22
Rome,2000,9,9,29.78,15.1,0
Rome,2000,9,10,28.96,16.9,0
Rome,2000,9,11,29.12,16.61,0
Rome,2000,9,12,29.63,14.92,0
Rome,2000,9,13,28.24,16.76,0
Rome,2000,9,14,28.97,16.76,0
Rome,2000,9,15,28.58,17.28,0.06
Rome,2000,9,16,26.69,16.92,0
Rome,2000,9,17,28.08,18.43,0.01
Rome,2000,9,18,26.41,17.89,0.1
Rome,2000,9,19,26.8,17.41,0.15
Rome,2000,9,20,28.41,21.53,7.92
Rome,2000,9,21,23.68,15.9,2.31
Rome,2000,9,22,27.12,13.05,0
Rome,2000,9,23,26.41,13.64,0
Rome,2000,9,24,26.57,14.27,0
Rome,2000,9,25,26.79,15.73,0
Rome,2000,9,26,27.33,12.98,0
Rome,2000,9,27,28.08,14.85,0
Rome,2000,9,28,25.47,15.77,0.01
Rome,2000,9,29,19.59,16.8,7.85
Rome,2000,9,30,21.63,17.47,25.97
Rome,2000,10,1,22.44,15.77,24.09
Rome,2000,10,2,20.12,14.48,3.62
Rome,2000,10,3,22.69,13.25,0.58
Rome,2000,10,4,23.42,13.94,2.23
Rome,2000,10,5,24.04,14.51,1.08
Rome,2000,10,6,20.79,14.29,6.9
Rome,2000,10,7,20.89,12.44,10.44
Rome,2000,10,8,21.19,9.88,0.21
Rome,2000,10,9,19.09,10.51,0.05
Rome,2000,10,10,19.22,11.55,8.98
Rome,2000,10,11,20.45,13.22,4.59
Rome,2000,10,12,24.55,16.92,0.06
Rome,2000,10,13,28.23,17.23,0
Rome,2000,10,14,28.3,19.36,0.08
Rome,2000,10,15,20.24,14.04,35.22
Rome,2000,10,16,18.82,13.48,6.09
Rome,2000,10,17,19.06,12.15,11.2
Rome,2000,10,18,20.89,11.07,0.18
Rome,2000,10,19,21.09,10.52,0.02
Rome,2000,10,20,22.16,11.54,0
Rome,2000,10,21,22.09,12.87,0.04
Rome,2000,10,22,22.67,13.08,0
Rome,2000,10,23,21.51,12.13,0.03
Rome,2000,10,24,21.05,10.28,2.58
Rome,2000,10,25,19.96,10.17,0.01
Rome,2000,10,26,17.46,12.12,1.94
Rome,2000,10,27,20.68,12.23,1.22
Rome,2000,10,28,21.81,12.97,0.04
Rome,2000,10,29,19.91,11.94,3.2
Rome,2000,10,30,19.57,13.79,5.15
Rome,2000,10,31,20.57,14.93,12.5
Rome,2000,11,1,18.87,12.89,4.27
Rome,2000,11,2,17.86,10.63,1.16
Rome,2000,11,3,20.23,14.59,3.6
Rome,2000,11,4,17.33,9.9,2.41
Rome,2000,11,5,15.87,9.76,0.69
Rome,2000,11,6,15.87,11.6,20.79
Rome,2000,11,7,15.94,12.26,14.43
Rome,2000,11,8,15.06,10.01,9.18
Rome,2000,11,9,14.23,8.73,3.08
Rome,2000,11,10,16.21,7.87,0.31
Rome,2000,11,11,16.47,7.12,0
Rome,2000,11,12,15.86,6.19,0.07
Rome,2000,11,13,19.49,15.35,0.37
Rome,2000,11,14,19.82,14.42,0.24
Rome,2000,11,15,19.03,13.37,0.94
Rome,2000,11,16,19.48,15.92,1.29
Rome,2000,11,17,16.69,11.65,10.45
Rome,2000,11,18,14.26,9.81,2.09
Rome,2000,11,19,11.35,7.09,7.7
Rome,2000,11,20,14.19,6.69,11.23
Rome,2000,11,21,14.87,9.11,11.46
Rome,2000,11,22,16.03,7.15,0.08
Rome,2000,11,23,15.08,6.5,0.15
Rome,2000,11,24,14.65,10.34,25.68
Rome,2000,11,25,14.25,8.4,0.29
Rome,2000,11,26,14.86,6.11,4.85
Rome,2000,11,27,14.5,4.69,0
Rome,2000,11,28,15.64,2.73,0
Rome,2000,11,29,16.03,5.94,0
Rome,2000,11,30,15.09,7.11,0
Rome,2000,12,1,17.05,7.86,0.06
Rome,2000,12,2,16.67,9.26,0.41
Rome,2000,12,3,15.32,10.07,2.24
Rome,2000,12,4,16.55,7.8,0.01
Rome,2000,12,5,16.58,8.16,0.02
Rome,2000,12,6,15.45,6.57,0
Rome,2000,12,7,15.92,7.06,0.01
Rome,2000,12,8,15.91,10.19,0.01
Rome,2000,12,9,16.92,9.31,0.08
Rome,2000,12,10,16.22,9.03,1.38
Rome,2000,12,11,16.39,6.02,0.02
Rome,2000,12,12,16.8,8.05,0.02
Rome,2000,12,13,14.85,8.06,0
Rome,2000,12,14,15.47,9.75,0.01
Rome,2000,12,15,15.25,9.94,1.53
Rome,2000,12,16,13.12,4.3,1.36
Rome,2000,12,17,11.35,5.67,1.6
Rome,2000,12,18,12.05,6.42,1.22
Rome,2000,12,19,13.14,4.58,0.02
Rome,2000,12,20,13.88,4.08,0.01
Rome,2000,12,21,10.76,4.9,0.31
Rome,2000,12,22,11.35,0.01,0.02
Rome,2000,12,23,9.9,-0.8,0
Rome,2000,12,24,11.61,0.51,4.04
Rome,2000,12,25,13.64,9.29,6.88
Rome,2000,12,26,13.37,7.9,7.27
Rome,2000,12,27,13.72,11.28,29.17
Rome,2000,12,28,13.03,7.37,4.23
Rome,2000,12,29,11.11,6.45,6.73
Rome,2000,12,30,11.51,3.24,6.21
Rome,2000,12,31,10.36,3.56,4.03
Rome,2001,1,1,10.88,-0.27,0
Rome,2001,1,2,11.61,2.65,0.65
Rome,2001,1,3,14.2,7.96,6.78
Rome,2001,1,4,11.53,4.08,15.51
Rome,2001,1,5,12.85,5.16,0.16
Rome,2001,1,6,15.72,8.08,0.01
Rome,2001,1,7,15.76,11.18,0.17
Rome,2001,1,8,13.05,6.53,16.67
Rome,2001,1,9,11.58,6.08,3.38
Rome,2001,1,10,12.37,4.37,0.71
Rome,2001,1,11,13.48,6.48,0.91
Rome,2001,1,12,14.33,8.06,0.14
Rome,2001,1,13,12.76,5.88,0.15
Rome,2001,1,14,9.93,4.14,0.04
Rome,2001,1,15,10.37,3.28,0.04
Rome,2001,1,16,8.35,4.12,0.7
Rome,2001,1,17,9.52,5.8,12.14
Rome,2001,1,18,11.48,6.15,5.05
Rome,2001,1,19,9.93,4.88,2.57
Rome,2001,1,20,13.13,4.9,0.5
Rome,2001,1,21,14.19,4.87,0.05
Rome,2001,1,22,10.94,4.83,0
Rome,2001,1,23,12.12,7.08,0
Rome,2001,1,24,14.36,5.73,0
Rome,2001,1,25,15.37,10.3,0.42
Rome,2001,1,26,12.21,6.06,4.48
Rome,2001,1,27,10.25,5.76,8.42
Rome,2001,1,28,12.23,6.98,3.81
Rome,2001,1,29,10.7,7.9,29.77
Rome,2001,1,30,9.79,6.65,15.79
Rome,2001,1,31,11.99,3.46,0.42
Rome,2001,2,1,7.12,1.05,2.55
Rome,2001,2,2,5.96,-0.95,0.08
Rome,2001,2,3,8.04,-0.82,0.17
Rome,2001,2,4,13.09,6.29,0.03
Rome,2001,2,5,13.15,6.9,0.07
Rome,2001,2,6,14.58,5.76,0
Rome,2001,2,7,14.55,5.24,0
Rome,2001,2,8,14.37,5.87,0.03
Rome,2001,2,9,13.68,7.45,12.44
Rome,2001,2,10,15.68,7.54,2.26
Rome,2001,2,11,14.45,4.99,0.01
Rome,2001,2,12,16.37,3.59,0
Rome,2001,2,13,14.78,5.69,0.01
Rome,2001,2,14,15.5,5.12,0.02
Rome,2001,2,15,14.92,2.79,0
Rome,2001,2,16,13.89,3.27,0
Rome,2001,2,17,12.3,3.8,0.01
Rome,2001,2,18,14.52,4.47,0
Rome,2001,2,19,14.07,3.36,0
Rome,2001,2,20,13.05,2.4,0
Rome,2001,2,21,12.85,1.56,0
Rome,2001,2,22,13.59,3.8,0.01
Rome,2001,2,23,13.36,7.51,0.01
Rome,2001,2,24,12.87,8.06,0.31
Rome,2001,2,25,11.23,7.31,4.43
Rome,2001,2,26,6.51,-1.45,2.4
Rome,2001,2,27,8.42,-2.68,0.04
Rome,2001,2,28,8.78,3.05,14.47
Rome,2001,3,1,10.15,3.9,3.95
Rome,2001,3,2,12.61,4.73,18.29
Rome,2001,3,3,17.14,11.47,0.06
Rome,2001,3,4,17.23,10.52,0.12
Rome,2001,3,5,16.99,10.83,0.44
Rome,2001,3,6,19.09,9.57,0.16
Rome,2001,3,7,17.96,7.9,0.04
Rome,2001,3,8,13.7,8.73,3.07
Rome,2001,3,9,15.46,8.76,1.65
Rome,2001,3,10,15.58,7.98,0.43
Rome,2001,3,11,16.55,9.97,0.5
Rome,2001,3,12,16.53,9.58,0.08
Rome,2001,3,13,15.13,7.98,9.41
Rome,2001,3,14,15.95,7.33,0
Rome,2001,3,15,16.83,5.88,0
Rome,2001,3,16,17.82,8.85,0.02
Rome,2001,3,17,17.49,9.69,0.6
Rome,2001,3,18,16.35,8.9,0.12
Rome,2001,3,19,16.02,7.3,0.1
Rome,2001,3,20,16.11,7.94,0.1
Rome,2001,3,21,16.65,9.37,0.52
Rome,2001,3,22,19.08,10.16,0.01
Rome,2001,3,23,20.4,9.26,0.03
Rome,2001,3,24,23.82,10.33,0
Rome,2001,3,25,19.59,12.01,0
Rome,2001,3,26,16.88,9.51,0.03
Rome,2001,3,27,16.51,9.26,8.74
Rome,2001,3,28,17.23,8.78,0.87
Rome,2001,3,29,16,9.2,8.26
Rome,2001,3,30,12.14,7.3,14.37
Rome,2001,3,31,18.42,5.55,0.59
Rome,2001,4,1,18.84,5.32,0
Rome,2001,4,2,18.78,4.8,0
Rome,2001,4,3,18.68,7.01,0
Rome,2001,4,4,17.03,7.74,0
Rome,2001,4,5,16.29,5.53,2.71
Rome,2001,4,6,19.01,4.51,0.02
Rome,2001,4,7,17.08,8.76,12.54
Rome,2001,4,8,14.51,8.15,7.53
Rome,2001,4,9,16.85,6.65,0.68
Rome,2001,4,10,19.56,6.3,0
Rome,2001,4,11,13.15,7.58,8.19
Rome,2001,4,12,17.19,6.62,1.78
Rome,2001,4,13,19.12,6.51,1.29
Rome,2001,4,14,9.28,2.88,18.29
Rome,2001,4,15,13.73,-0.12,0.57
Rome,2001,4,16,14.19,8.08,4.58
Rome,2001,4,17,15.53,5.17,3.41
Rome,2001,4,18,17.19,2.83,0.03
Rome,2001,4,19,16.42,8.83,1.11
Rome,2001,4,20,13.23,7.86,2.98
Rome,2001,4,21,13.42,5.32,0.62
Rome,2001,4,22,11.21,4.87,2.66
Rome,2001,4,23,14.83,4.19,8.07
Rome,2001,4,24,19.82,7.63,0.27
Rome,2001,4,25,21.35,8.86,0
Rome,2001,4,26,22.12,11.26,0
Rome,2001,4,27,18.86,9.9,0.57
Rome,2001,4,28,21.23,11.9,0.39
Rome,2001,4,29,23.66,11.64,0
Rome,2001,4,30,23.58,13.21,0
Rome,2001,5,1,25.83,13.78,0
Rome,2001,5,2,26.89,14.97,0
Rome,2001,5,3,25.51,15.06,0.47
Rome,2001,5,4,22.34,13.02,0.22
Rome,2001,5,5,19.54,13.01,1.63
Rome,2001,5,6,16.81,11.69,2.19
Rome,2001,5,7,16.7,10.36,7.92
Rome,2001,5,8,22.9,10.98,0.26
Rome,2001,5,9,23.74,11.37,0.78
Rome,2001,5,10,23.83,11.89,8.42
Rome,2001,5,11,23.99,12.73,1.12
Rome,2001,5,12,23.02,10.68,0.05
Rome,2001,5,13,23.83,10.7,0
Rome,2001,5,14,23.21,11.18,0.01
Rome,2001,5,15,20.63,12.26,0.02
Rome,2001,5,16,24,13.14,0
Rome,2001,5,17,26.19,15.01,0
Rome,2001,5,18,27.26,16.13,0.01
Rome,2001,5,19,29.05,15.63,0.03
Rome,2001,5,20,24.68,14.48,0.25
Rome,2001,5,21,25.4,17.15,1.73
Rome,2001,5,22,27.82,16.89,0.04
Rome,2001,5,23,24.34,15.75,0.05
Rome,2001,5,24,21.51,16.62,7.31
Rome,2001,5,25,23.98,15.47,4.41
Rome,2001,5,26,26.35,13.46,0.04
Rome,2001,5,27,28.19,14.26,0
Rome,2001,5,28,29.12,15.41,0
Rome,2001,5,29,29.76,16.87,0
Rome,2001,5,30,28.36,17.3,0
Rome,2001,5,31,26.99,16.35,0.12
Rome,2001,6,1,26.87,17.01,4.06
Rome,2001,6,2,25.51,16.08,0.42
Rome,2001,6,3,23.63,14.72,0.1
Rome,2001,6,4,23.47,9.69,0
Rome,2001,6,5,25.02,11.06,0
Rome,2001,6,6,23.73,11.95,0
Rome,2001,6,7,27.23,12.18,0
Rome,2001,6,8,25.51,15.2,0
Rome,2001,6,9,26.57,13.43,0.02
Rome,2001,6,10,27.14,17.38,0.22
Rome,2001,6,11,24.65,16.39,0.45
Rome,2001,6,12,27.84,13.55,0.05
Rome,2001,6,13,27.38,17.26,1.03
Rome,2001,6,14,25.51,14.25,0.04
Rome,2001,6,15,28.12,15.12,0
Rome,2001,6,16,28.37,15.53,0
Rome,2001,6,17,25.62,15.31,0.04
Rome,2001,6,18,23.44,14.21,2.41
Rome,2001,6,19,25.32,13.42,3.42
Rome,2001,6,20,26.28,13.84,3.3
Rome,2001,6,21,28.51,14.57,0
Rome,2001,6,22,26.76,14.92,0
Rome,2001,6,23,27.66,15.25,0
Rome,2001,6,24,31.75,17.98,0
Rome,2001,6,25,32.38,18.26,0
Rome,2001,6,26,32.4,19.98,0.01
Rome,2001,6,27,32.34,21.34,0
Rome,2001,6,28,27.71,19.74,0.46
Rome,2001,6,29,30.12,18.73,2.58
Rome,2001,6,30,32.68,17.44,1.76
Rome,2001,7,1,32.05,19.89,0.93
Rome,2001,7,2,30.74,18.27,0.09
Rome,2001,7,3,30.58,16.19,0
Rome,2001,7,4,29.34,18.9,0.01
Rome,2001,7,5,30.49,18.58,0
Rome,2001,7,6,32.65,19.21,0
Rome,2001,7,7,30.62,20.12,0
Rome,2001,7,8,30.12,18.94,0
Rome,2001,7,9,31.12,17.95,0
Rome,2001,7,10,24.78,20.29,1.24
Rome,2001,7,11,31.98,18.31,0
Rome,2001,7,12,31.4,19.69,0
Rome,2001,7,13,31.85,19.23,0
Rome,2001,7,14,33.69,19.46,0
Rome,2001,7,15,32.86,20.39,0
Rome,2001,7,16,28.17,20.23,0
Rome,2001,7,17,27.11,17.85,0.06
Rome,2001,7,18,28.48,17.65,0
Rome,2001,7,19,30.25,18.44,0.42
Rome,2001,7,20,25.73,18.09,1.24
Rome,2001,7,21,30.01,16.32,0
Rome,2001,7,22,32.04,16.68,0
Rome,2001,7,23,32.3,17.76,0
Rome,2001,7,24,31.23,19.12,0
Rome,2001,7,25,32.26,19.77,0.01
Rome,2001,7,26,33.12,20.52,0
Rome,2001,7,27,34.9,22.56,0
Rome,2001,7,28,34.51,21.83,0.02
Rome,2001,7,29,34.65,21.5,0.07
Rome,2001,7,30,35.48,22.01,0.45
Rome,2001,7,31,35.91,21.02,0.07
Rome,2001,8,1,36.46,20.97,0
Rome,2001,8,2,35.42,22.14,0
Rome,2001,8,3,36.57,24.31,0
Rome,2001,8,4,34.16,22.12,0
Rome,2001,8,5,33.13,21.4,0.01
Rome,2001,8,6,32.29,19.58,0
Rome,2001,8,7,33.27,20.44,0
Rome,2001,8,8,33.19,20.99,0
Rome,2001,8,9,34.92,21.66,0
Rome,2001,8,10,34.35,21.94,0
Rome,2001,8,11,32.11,18.34,0.02
Rome,2001,8,12,31.8,17.03,0
Rome,2001,8,13,32.49,15.6,0
Rome,2001,8,14,32.94,18.15,0
Rome,2001,8,15,33.28,20.48,0
Rome,2001,8,16,34.9,21.94,0
Rome,2001,8,17,34.27,21.36,0
Rome,2001,8,18,31.4,21.69,0.02
Rome,2001,8,19,32.04,20.8,0
Rome,2001,8,20,32.65,21.11,0
Rome,2001,8,21,32.69,21.26,0.37
Rome,2001,8,22,31.09,21.85,2.28
Rome,2001,8,23,32.69,19.63,0
Rome,2001,8,24,33.71,20.65,0.04
Rome,2001,8,25,32.62,20.74,0.02
Rome,2001,8,26,33.26,20.92,0
Rome,2001,8,27,34.31,21.3,0
Rome,2001,8,28,34.2,20.63,0
Rome,2001,8,29,32.9,21.33,0
Rome,2001,8,30,31.66,20.51,0.18
Rome,2001,8,31,28.58,20.31,0.05
Rome,2001,9,1,26.8,17.45,1.13
Rome,2001,9,2,26.56,16.55,0.65
Rome,2001,9,3,28.43,16.71,0
Rome,2001,9,4,27.31,16.75,1.76
Rome,2001,9,5,24.41,15.62,2.61
Rome,2001,9,6,27.62,15.69,0
Rome,2001,9,7,28.93,14.83,0
Rome,2001,9,8,27.72,15.83,0
Rome,2001,9,9,26.4,18.61,0.24
Rome,2001,9,10,25.6,12.39,0.95
Rome,2001,9,11,23.83,10.65,0.03
Rome,2001,9,12,25.29,12.93,0
Rome,2001,9,13,25.62,13.83,0
Rome,2001,9,14,23.92,14.44,15.37
Rome,2001,9,15,24.11,14.83,3.4
